what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306511455708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306511720217
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306511726564
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306511729152
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1306511729186
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1306511730995
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306511732933
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306511732966
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306511745245
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306511745320
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306511745479
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1306511745483
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1306511748263
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1306511748291
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306511755013
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306511758857
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306511768744
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1306511768758
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306511770164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306511771523
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1306511771634
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1306511773467
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306511815211
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306511819755
