what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306542283100
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306542284683
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306542299353
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306542301430
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306542303963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1306542367457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306542367757
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306542369211
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306542369246
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306542377883
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306542377944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306542378113
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1306542378118
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1306542380084
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306542381835
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1306542382159
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1306542382188
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306542418574
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1306542421607
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306542432126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306542434535
